題目,選項A,選項B,選項C,選項D,正確答案
社會信用系統可能侵犯哪項基本人權？,宗教自由,隱私權,結社自由,受教育權,B
人臉辨識技術在公共場所的普及可能導致何種倫理爭議？,提高犯罪率,加速經濟發展,弱化隱私權保護,改善交通效率,C
網路審查制度最直接衝擊哪項公民權利？,資訊獲取權,就業平等權,文化表達自由,醫療保障權,A
人工智慧用於大規模監控可能引發哪種社會問題？,降低政府效率,加劇言論自我審查,促進國際交流,減少能源消耗,B
隱私權倡議者反對個人資訊收集的主要理由是？,增加企業營收,可能導致資料濫用與監控,提高產品品質,便利消費者生活,B
人臉辨識技術在公共場所的爭議性主要來源是？,提升犯罪偵查效率,可能侵犯隱私權與監控過度,減少排隊時間,促進商業營運,B
網路審查制度的核心問題是？,保護未成年使用網路,政府控制言論自由與資訊流向,防止網路詐騙,優化使用網路速度,B
人工智慧用於大規模監控的倫理爭議在於？,提高公共安全,可能導致集權政府箝制民意,降低執法成本,促進科技發展,B
隱私權與科技發展的衝突中最敏感的議題是？,使用網路服務需同意隱私權條款,政府或企業濫用個人資料進行監控,使用網路匿名功能,使用網路加密技術,B
社會信用系統如何影響經濟活動？,提高企業競爭力,根據信用評分限制個人貸款或旅行自由,降低通脹率,促進國際貿易,B
資訊監控在政治領域的倫理問題主要在於？,提升政策執行效率,侵犯公民表達意見的自由,減少政府行政負擔,增強國防安全,B
人工智慧在政治宣傳中的應用可能導致？,提高選舉透明度,操控公共意見與集體思維,促進多元觀點交流,減少選舉舞弊,B
網路審查常利用的技術手段是？,人工審查員,人工智慧即時過濾敏感內容,使用者自願篩選,公開透明的審查標準,B
隱私權與公共安全的權衡中，最爭議的觀點是？,監控技術有助預防犯罪,政府可能以安全為名擴張監控權力,監控數據完全匿名化,公民應無條件支持監控措施,B
在隱私權爭議中，哪項技術因大規模人臉辨識應用而引起國際爭議？,深度學習模型,5G通訊協定,生物特徵辨識,人工智慧客服,C
根據《網絡安全法》，使用網路審查技術的主要目的是？,防止異見內容傳播,阻擋境外網路攻擊,提升使用網路速度,保護個人資訊安全,A
以下哪項是倫理學者批評「社會信用系統」的關鍵理由？,鼓勵消費行為,侵權評估個人品德,提升物流效率,促進數據共享,B
人工智慧監控技術最可能違反哪項基本人權？,隱私權,受教育權,勞動權,宗教信仰自由,A
社會信用系統將以下哪項行為納入評分標準？,網路發文批評政府政策,未按時繳納交通罰款,拒絶參與社區志工活動,以上皆是,D
根據2023年報告，哪個國家要求科技公司必須在72小時內刪除特定政治敏感內容？,印度,土耳其,越南,以上皆是,D
以下哪種技術被用於追蹤特定宗教群體的集會活動？,區塊鏈交易追蹤,人臉辨識整合GPS定位,雲端硬碟內容掃瞄,電信基地台訊號分析,B
2022年某國法院判決企業須配合政府要求，將以下哪類數據納入國家安全系統？,電商平台消費紀錄,醫療病歷資料,通訊軟體對話內容,以上皆是,D
 facial recognition technology在公共安全上的爭議，主要來自於？,降低犯罪率,提高政府效率,侵犯隱私權,促進科技發展,C
網路審查制度最可能影響公民的哪項基本權利？,受教育權,財產權,工作權,言論自由,D
當隱私保護與國家安全衝突時，應優先考量？,個人隱私權,經濟利益,科技進步,政府權力擴張,A
社會信用系統可能導致的社會問題是？,鼓勵善意行為,形成階級分化,促進市場競爭,提升消費者信心,B
政府利用大數據進行資訊監控的主要爭議在於？,預防網路攻擊,侵犯公民自主權,提升公共安全,優化基礎設施,B
人工智慧在招聘流程中的倫理風險是？,提高錄取效率,降低人力成本,產生算法偏見,增加就業機會,C
網路審查技術最常使用的方法是？,人工審查,自動過濾,公開投票,國際協議,B
目前全球對 facial recognition technology的倫理規範主要缺乏？,技術標準,商業模式,使用限製,國際合作,C
科技與倫理議題的核心爭議在於？,經濟利益最大化,隱私權與監控的平衡,科技發展速度,政府政策宣傳,B
哪項技術被批評用於大規模監控維吾爾族群？,AI駕駛輔助系統,人臉辨識與Uyghur身份追蹤,雲端數據加密技術,5G通訊基礎建設,B
中國《網路安全法》要求企業必須執行什麼措施？,強制員工使用國產硬體,自動審查並刪除違禁內容,提供源代碼給政府備查,限制使用網路加速服務,B
哪個國家被質疑利用AI進行政治言論審查？,芬蘭,中國,德國,紐西蘭,B
人臉辨識技術在公共場所的爭議焦點是？,提升購物體驗,侵犯隱私權與集體監控,減少排隊時間,提高犯罪偵破率,B
中國「社會信用分」可能影響下列哪項權利？,選擇飲食品牌,子女就學資格,使用網路遊戲帳號,選擇居住社區,B
哪項技術被批評用於政治異見者的定位與追蹤？,GPS導航,大數據人流分析,Wi-Fi訊號強度測量,藍牙 Beacon 傳感器,B
中國《個人資訊保護法》要求企業必須？,公開所有監控鏡頭位置,自動刪除敏感政治言論,向公安機關備查使用者資料,採用國產AI算法,C
哪種技術被用於封锁境外政治資訊？,區塊鏈,DNS過濾與防火長城,量子加密,雲端虛擬實境,B
 facial recognition 在哪個領域被批評最嚴重？,醫療診斷,政治集會監控,線上購物推荐,自駕車路況辨識,B
以下哪種技術被批評可能在公共場所侵犯隱私權？,雲端儲存,人臉辨識,5G通訊,區塊鏈,B
哪個國家的法律明確規範網路內容審查的「違法不良信息」定義？,加拿大,中國,法國,印度,B
隱私權與公共安全的衝突，在以下哪個情境最明顯？,醫療資料匿名化,監控攝影機普及化,使用網路匿名帳號,使用網路加密通訊,B
社會信用系統的數據來源可能包含以下哪項？,氣象資料,消費紀錄,文學創作,天文數據,B
人工智慧用於監控公民行為，主要涉及哪種倫理爭議？,能源效率,隱私權侵權,硬體成本,軟體版權,B
網路審查制度的正當性基礎，以下哪個觀點最常被支持者引用？,促進科技發展,維護社會穩定,增加就業機會,推動文化出口,B
人臉辨識技術的爭議，以下哪項是學界常見的批評？,運算速度慢,可能有種族偏見,耗電量高,圖像解析度低,B
社會信用系統可能導致的倫理問題包含？,促進消費行為,歧視弱势群體,提升網路速度,降低電費支出,B
資訊監控的倫理立場，以下哪個最符合「應由法律規範」的主張？,完全禁止,由政府自由決定,完全放任市場,依法律明確限制,D
人工智慧在監獄管理中的應用可能觸及哪項倫理爭議？,提高能源效率,監控與行為預測,自動化餐飲供應,優化園區綠化,B
哪種技術被用於大規模人臉辨識，引發人權組織抗議？,3D印表機,生物辨識系統,虛擬實境頭盔,無人機配送,B
網路審查制度最可能影響下列哪項權利？,自由移動權,言論自由,受教育權,醫療保健權,B
隱私保護法規主要限制企業如何使用個資？,用於產品包裝設計,進行大數據分析,發送節能提醒,計算員工獎金,B
人工智慧決策系統的偏見可能源於？,硬體效能不足,訓練資料偏差,使用者界面設計,電源供應不穩,B
哪個技術被用於追蹤公民動態，引發倫理爭議？,藍芽通訊,GPS定位,無線充電,紅外線感應,B
社會信用系統可能影響個人的哪項權益？,選擇飲食習慣,取得交通服務,決定休閒活動,選擇服裝品牌,B
人工智慧在招聘流程中的倫理問題包括？,提升公司形象,加強性別歧視,減少人力成本,加快審核速度,B
網路審查最直接衝擊哪種內容傳播？,科學研究報告,政治敏感話題,天氣預報資訊,食譜教學影片,B
以下哪項是中國「大數據監控」的主要爭議？,提升犯罪預防準確度,侵犯隱私權與思想自由,促進經濟發展,改善環境保護措施,B
人臉辨識技術在中國的广泛应用引发最大倫理爭議是？,提高公共安全,可能用於政治監控,降低犯罪率,推動商業創新,B
中國《網絡安全法》要求企業必須配合哪項措施？,主動公開財務報表,協助政府審查用戶內容,提供消費者優惠方案,優化使用者介面設計,B
社會信用系統可能如何影響公民的金融權益？,提升貸款通過率,低信用分者難以取得信貸,增加投資收益,降低理財門檻,B
以下哪項是中國「防火牆」的主要功能？,防止境外病毒入侵,阻擋特定境外網站與內容,提升國內網路速度,降低企業營運成本,B
使用AI監控公民的倫理爭議在於？,可能導致資訊濫用與權力過度集中,提升政府行政效率,減少人力成本,促進科技產業發展,A
中國「社會信用系統」的評分可能包含哪些敏感項目？,個人消費習慣,政治言論與網路發言,體育競賽成績,教育程度,B
隱私權倡議者質疑中國監控技術的主要理由是？,技術成本過高,可能用於政治壓制,無法有效預防犯罪,干擾外國投資,B
根據中國法律，企業必須如何處理用戶數據？,完全公開透明,配合政府要求刪除特定內容,優先保護消費者隱私,自動加密所有資料,B
 Facial recognition technology最可能侵犯哪項基本人權？,宗教信仰自由,隱私權與個人資料安全,受教育權,勞動安全保障,B
政府使用網路審查的主要爭議焦點在於？,提高網路速度,限制言論自由與資訊流通,降低網路犯罪率,促進跨國企業合作,B
人工智慧用於監控公民行為的主要倫理爭議是？,提升公共安全,侵犯個人自由與隱私,促進經濟發展,改善交通效率,B
社會信用系統如何影響公民的社會地位？,根據消費習慣分級,依政治立場評估,按教育程度排名,憑工作績效排序,B
人臉辨識技術在公共場所的使用最可能導致？,降低能源消耗,大規模人權侵犯,減少環境汙染,增加就業機會,B
網路審查制度的主要批評者認為其？,提升資訊準確性,製造資訊泡沫化,保障未成年人權益,促進多元意見表達,B
人工智慧決策系統的倫理爭議在於？,提升運算速度,可能強化社會偏見,降低企業成本,增加娛樂選擇,B
隱私權保護法規在科技發展下的最大挑戰是？,硬體設備更新,大數據與演算法監控,電力供應問題,語言翻譯障礙,B
社會信用系統可能被用於？,鼓勵環保行為,政治立場評估與控制,優化交通流量,提升醫療資源分配,B
在公共場所使用人臉辨識技術的爭議點在於？,提升公共安全,侵犯隱私權,節省人力成本,促進商業營運,B
網路審查制度的主要實施者是？,企業自行管理,政府主導控制,國際組織協調,公民自願參與,B
人工智慧演算法偏見最可能導致什麼結果？,提升決策效率,加劇社會不平等,減少人為錯誤,促進文化多元性,B
大規模監控技術的道德爭議主要在於？,降低犯罪率,侵犯隱私權,提高行政效能,增強國家安全,B
當隱私權與國家安全衝突時，應優先考慮？,國家安全,隱私權保護,企業利益,國際法規,B
人工智慧倫理準則的制定權力在於？,科技公司自主,政府機構,獨立學術組織,公民投票決定,B
社會信用系統可能導致的長期影響是？,提升社會信任,限制個人自由,促進經濟成長,減少政府干預,B
人臉辨識技術在公共安全領域的爭議性應用是？,身份驗證系統,實時人群監控,門禁管理,犯罪預測,B
網路審查的長期影響可能包括？,增強資訊透明度,壓迫言論自由,保護未成年人,促進國際交流,B
中國「防火長城」的主要功能是？,防止境外網路攻擊,過濾特定政治內容,提升國內網路速度,保護個人隱私安全,B
臉部辨識技術在公共場所的爭議焦點是？,降低犯罪率,侵犯隱私權,改善交通效率,促進商業營收,B
深度偽造（Deepfake）技術最可能違反哪項倫理原則？,提高娛樂產業收益,損害身份辨識正義,促進人工智慧發展,強化國家安全防禦,B
網路審查制度可能導致的後果是？,資訊多元性提升,公民表達自由受限,科技產業創新增加,國際交流頻繁化,B
人工智慧監控系統在政治領域的爭議在於？,提升政府決策準確性,強化政治控制力,減少公務員人數需求,促進政策透明化,B
個資法規在中國的執行，常被批評為？,過度保護企業利益,政府可任意取得資料,限制科技產業發展,鼓勵公民監督政府,B
社會信用分數可能影響的領域是？,天氣預報精準度,旅遊、就學及就業權,電競比賽排名,網路遊戲等級,B
人工智慧在司法系統的運用，最可能引發爭議的是？,加快審判速度,偏頗特定政治立場,減少律師需求,提高犯罪預測準確率,B
網路審查技術常透過何種方式實施？,強制加密通訊,阻擋特定關鍵字與網站,公開所有監控紀錄,鼓勵匿名發言,B
社會信用系統的主要爭議在於？,根據行為數據限制個人社會權利,提升商業交易信任度,促進公民教育水平,改善公共衛生環境,A
AI倫理爭議中，何者涉及國家安全議題？,政府使用AI監控言論內容,開發醫療用AI診斷系統,AI自動化基礎教育評分,金融信貸風險評估,A
網路審查制度的主要矛盾在於？,個體言論自由與國家資訊管控的衝突,提升網路內容品質,降低使用網路成本,促進跨國資料流動,A
隱私權保護爭議中，何者直接衝擊公民基本權利？,政府無限期儲存公民生物特徵數據,企業收集消費偏好資料,使用網路匿名帳號功能,使用網路加密通訊,A
臉部辨識技術在公共場所的爭議，主要涉及哪項倫理問題？,提高犯罪偵破率,降低政府行政成本,侵犯隱私權與監控過度,提升交通運輸準確性,C
中國政府對網路內容審查的主要依據是？,《著作權法》,《網絡安全法》與《傳播法》,《消費者保護法》,《外商投資法》,B
